[2016-10-02 11:32:41.230] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县清水乡, 1]
[2016-10-02 11:32:41.231] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县清水乡三家村1社, 1]
[2016-10-02 11:32:41.231] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县清水乡瞿家营三社, 1]
[2016-10-02 11:32:41.231] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县猴桥镇永兴村小坡社, 1]
[2016-10-02 11:32:41.232] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县猴桥镇永新村, 1]
[2016-10-02 11:32:41.232] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县猴桥镇金家村番家冲, 1]
[2016-10-02 11:32:41.232] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县猴桥镇金家村石碑寨, 1]
[2016-10-02 11:32:41.233] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县猴桥镇金家村石碳寨, 1]
[2016-10-02 11:32:41.234] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县瑞滇镇山寨杜家寨, 1]
[2016-10-02 11:32:41.235] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县瑞滇镇腊幸郑家园, 1]
[2016-10-02 11:32:41.236] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县界头乡永安下街口, 1]
[2016-10-02 11:32:41.236] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县界头乡清水村严家寨, 1]
[2016-10-02 11:32:41.237] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县腾越镇, 2]
[2016-10-02 11:32:41.237] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县腾越镇天成社区振兴小区110号, 1]
[2016-10-02 11:32:41.238] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县腾越镇洞山芹菜塘10社, 1]
[2016-10-02 11:32:41.238] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县芒棒乡, 1]
[2016-10-02 11:32:41.239] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县芒棒乡大竹村, 1]
[2016-10-02 11:32:41.239] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县芒棒乡马场坡头寨, 1]
[2016-10-02 11:32:41.240] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县荷花乡朗卜赵二社, 1]
[2016-10-02 11:32:41.240] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县荷花乡汪里1社, 1]
[2016-10-02 11:32:41.241] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县蒲川乡依彩2社, 1]
[2016-10-02 11:32:41.242] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县蒲川乡向阳一社, 1]
[2016-10-02 11:32:41.243] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县蒲川乡曼朵村坝永山中间寨, 1]
[2016-10-02 11:32:41.243] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县蒲川乡清河茅草地, 1]
[2016-10-02 11:32:41.244] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县蒲川乡龙朝村中户蚌社, 1]
